character	Unicode	BORRAR1	BORRAR2	UTF-8	BORRAR3	name	
🌀	U+1F300	&#x1F300;	&#127744;	F0 9F 8C 80	\u1F300	Cyclone
🌁	U+1F301	&#x1F301;	&#127745;	F0 9F 8C 81	\u1F301	Foggy
🌂	U+1F302	&#x1F302;	&#127746;	F0 9F 8C 82	\u1F302	Closed Umbrella
🌃	U+1F303	&#x1F303;	&#127747;	F0 9F 8C 83	\u1F303	Night With Stars
🌄	U+1F304	&#x1F304;	&#127748;	F0 9F 8C 84	\u1F304	Sunrise Over Mountains
🌅	U+1F305	&#x1F305;	&#127749;	F0 9F 8C 85	\u1F305	Sunrise
🌆	U+1F306	&#x1F306;	&#127750;	F0 9F 8C 86	\u1F306	Cityscape At Dusk
🌇	U+1F307	&#x1F307;	&#127751;	F0 9F 8C 87	\u1F307	Sunset Over Buildings
🌈	U+1F308	&#x1F308;	&#127752;	F0 9F 8C 88	\u1F308	Rainbow
🌉	U+1F309	&#x1F309;	&#127753;	F0 9F 8C 89	\u1F309	Bridge At Night
🌊	U+1F30A	&#x1F30A;	&#127754;	F0 9F 8C 8A	\u1F30A	Water Wave
🌋	U+1F30B	&#x1F30B;	&#127755;	F0 9F 8C 8B	\u1F30B	Volcano
🌌	U+1F30C	&#x1F30C;	&#127756;	F0 9F 8C 8C	\u1F30C	Milky Way
🌍	U+1F30D	&#x1F30D;	&#127757;	F0 9F 8C 8D	\u1F30D	Earth Globe Europe-africa
🌎	U+1F30E	&#x1F30E;	&#127758;	F0 9F 8C 8E	\u1F30E	Earth Globe Americas
🌏	U+1F30F	&#x1F30F;	&#127759;	F0 9F 8C 8F	\u1F30F	Earth Globe Asia-australia
🌐	U+1F310	&#x1F310;	&#127760;	F0 9F 8C 90	\u1F310	Globe With Meridians
🌑	U+1F311	&#x1F311;	&#127761;	F0 9F 8C 91	\u1F311	New Moon Symbol
🌒	U+1F312	&#x1F312;	&#127762;	F0 9F 8C 92	\u1F312	Waxing Crescent Moon Symbol
🌓	U+1F313	&#x1F313;	&#127763;	F0 9F 8C 93	\u1F313	First Quarter Moon Symbol
🌔	U+1F314	&#x1F314;	&#127764;	F0 9F 8C 94	\u1F314	Waxing Gibbous Moon Symbol
🌕	U+1F315	&#x1F315;	&#127765;	F0 9F 8C 95	\u1F315	Full Moon Symbol
🌖	U+1F316	&#x1F316;	&#127766;	F0 9F 8C 96	\u1F316	Waning Gibbous Moon Symbol
🌗	U+1F317	&#x1F317;	&#127767;	F0 9F 8C 97	\u1F317	Last Quarter Moon Symbol
🌘	U+1F318	&#x1F318;	&#127768;	F0 9F 8C 98	\u1F318	Waning Crescent Moon Symbol
🌙	U+1F319	&#x1F319;	&#127769;	F0 9F 8C 99	\u1F319	Crescent Moon
🌚	U+1F31A	&#x1F31A;	&#127770;	F0 9F 8C 9A	\u1F31A	New Moon With Face
🌛	U+1F31B	&#x1F31B;	&#127771;	F0 9F 8C 9B	\u1F31B	First Quarter Moon With Face
🌜	U+1F31C	&#x1F31C;	&#127772;	F0 9F 8C 9C	\u1F31C	Last Quarter Moon With Face
🌝	U+1F31D	&#x1F31D;	&#127773;	F0 9F 8C 9D	\u1F31D	Full Moon With Face
🌞	U+1F31E	&#x1F31E;	&#127774;	F0 9F 8C 9E	\u1F31E	Sun With Face
🌟	U+1F31F	&#x1F31F;	&#127775;	F0 9F 8C 9F	\u1F31F	Glowing Star
🌠	U+1F320	&#x1F320;	&#127776;	F0 9F 8C A0	\u1F320	Shooting Star
🌰	U+1F330	&#x1F330;	&#127792;	F0 9F 8C B0	\u1F330	Chestnut
🌱	U+1F331	&#x1F331;	&#127793;	F0 9F 8C B1	\u1F331	Seedling
🌲	U+1F332	&#x1F332;	&#127794;	F0 9F 8C B2	\u1F332	Evergreen Tree
🌳	U+1F333	&#x1F333;	&#127795;	F0 9F 8C B3	\u1F333	Deciduous Tree
🌴	U+1F334	&#x1F334;	&#127796;	F0 9F 8C B4	\u1F334	Palm Tree
🌵	U+1F335	&#x1F335;	&#127797;	F0 9F 8C B5	\u1F335	Cactus
🌷	U+1F337	&#x1F337;	&#127799;	F0 9F 8C B7	\u1F337	Tulip
🌸	U+1F338	&#x1F338;	&#127800;	F0 9F 8C B8	\u1F338	Cherry Blossom
🌹	U+1F339	&#x1F339;	&#127801;	F0 9F 8C B9	\u1F339	Rose
🌺	U+1F33A	&#x1F33A;	&#127802;	F0 9F 8C BA	\u1F33A	Hibiscus
🌻	U+1F33B	&#x1F33B;	&#127803;	F0 9F 8C BB	\u1F33B	Sunflower
🌼	U+1F33C	&#x1F33C;	&#127804;	F0 9F 8C BC	\u1F33C	Blossom
🌽	U+1F33D	&#x1F33D;	&#127805;	F0 9F 8C BD	\u1F33D	Ear Of Maize
🌾	U+1F33E	&#x1F33E;	&#127806;	F0 9F 8C BE	\u1F33E	Ear Of Rice
🌿	U+1F33F	&#x1F33F;	&#127807;	F0 9F 8C BF	\u1F33F	Herb
🍀	U+1F340	&#x1F340;	&#127808;	F0 9F 8D 80	\u1F340	Four Leaf Clover
🍁	U+1F341	&#x1F341;	&#127809;	F0 9F 8D 81	\u1F341	Maple Leaf
🍂	U+1F342	&#x1F342;	&#127810;	F0 9F 8D 82	\u1F342	Fallen Leaf
🍃	U+1F343	&#x1F343;	&#127811;	F0 9F 8D 83	\u1F343	Leaf Fluttering In Wind
🍄	U+1F344	&#x1F344;	&#127812;	F0 9F 8D 84	\u1F344	Mushroom
🍅	U+1F345	&#x1F345;	&#127813;	F0 9F 8D 85	\u1F345	Tomato
🍆	U+1F346	&#x1F346;	&#127814;	F0 9F 8D 86	\u1F346	Aubergine
🍇	U+1F347	&#x1F347;	&#127815;	F0 9F 8D 87	\u1F347	Grapes
🍈	U+1F348	&#x1F348;	&#127816;	F0 9F 8D 88	\u1F348	Melon
🍉	U+1F349	&#x1F349;	&#127817;	F0 9F 8D 89	\u1F349	Watermelon
🍊	U+1F34A	&#x1F34A;	&#127818;	F0 9F 8D 8A	\u1F34A	Tangerine
🍋	U+1F34B	&#x1F34B;	&#127819;	F0 9F 8D 8B	\u1F34B	Lemon
🍌	U+1F34C	&#x1F34C;	&#127820;	F0 9F 8D 8C	\u1F34C	Banana
🍍	U+1F34D	&#x1F34D;	&#127821;	F0 9F 8D 8D	\u1F34D	Pineapple
🍎	U+1F34E	&#x1F34E;	&#127822;	F0 9F 8D 8E	\u1F34E	Red Apple
🍏	U+1F34F	&#x1F34F;	&#127823;	F0 9F 8D 8F	\u1F34F	Green Apple
🍐	U+1F350	&#x1F350;	&#127824;	F0 9F 8D 90	\u1F350	Pear
🍑	U+1F351	&#x1F351;	&#127825;	F0 9F 8D 91	\u1F351	Peach
🍒	U+1F352	&#x1F352;	&#127826;	F0 9F 8D 92	\u1F352	Cherries
🍓	U+1F353	&#x1F353;	&#127827;	F0 9F 8D 93	\u1F353	Strawberry
🍔	U+1F354	&#x1F354;	&#127828;	F0 9F 8D 94	\u1F354	Hamburger
🍕	U+1F355	&#x1F355;	&#127829;	F0 9F 8D 95	\u1F355	Slice Of Pizza
🍖	U+1F356	&#x1F356;	&#127830;	F0 9F 8D 96	\u1F356	Meat On Bone
🍗	U+1F357	&#x1F357;	&#127831;	F0 9F 8D 97	\u1F357	Poultry Leg
🍘	U+1F358	&#x1F358;	&#127832;	F0 9F 8D 98	\u1F358	Rice Cracker
🍙	U+1F359	&#x1F359;	&#127833;	F0 9F 8D 99	\u1F359	Rice Ball
🍚	U+1F35A	&#x1F35A;	&#127834;	F0 9F 8D 9A	\u1F35A	Cooked Rice
🍛	U+1F35B	&#x1F35B;	&#127835;	F0 9F 8D 9B	\u1F35B	Curry And Rice
🍜	U+1F35C	&#x1F35C;	&#127836;	F0 9F 8D 9C	\u1F35C	Steaming Bowl
🍝	U+1F35D	&#x1F35D;	&#127837;	F0 9F 8D 9D	\u1F35D	Spaghetti
🍞	U+1F35E	&#x1F35E;	&#127838;	F0 9F 8D 9E	\u1F35E	Bread
🍟	U+1F35F	&#x1F35F;	&#127839;	F0 9F 8D 9F	\u1F35F	French Fries
🍠	U+1F360	&#x1F360;	&#127840;	F0 9F 8D A0	\u1F360	Roasted Sweet Potato
🍡	U+1F361	&#x1F361;	&#127841;	F0 9F 8D A1	\u1F361	Dango
🍢	U+1F362	&#x1F362;	&#127842;	F0 9F 8D A2	\u1F362	Oden
🍣	U+1F363	&#x1F363;	&#127843;	F0 9F 8D A3	\u1F363	Sushi
🍤	U+1F364	&#x1F364;	&#127844;	F0 9F 8D A4	\u1F364	Fried Shrimp
🍥	U+1F365	&#x1F365;	&#127845;	F0 9F 8D A5	\u1F365	Fish Cake With Swirl Design
🍦	U+1F366	&#x1F366;	&#127846;	F0 9F 8D A6	\u1F366	Soft Ice Cream
🍧	U+1F367	&#x1F367;	&#127847;	F0 9F 8D A7	\u1F367	Shaved Ice
🍨	U+1F368	&#x1F368;	&#127848;	F0 9F 8D A8	\u1F368	Ice Cream
🍩	U+1F369	&#x1F369;	&#127849;	F0 9F 8D A9	\u1F369	Doughnut
🍪	U+1F36A	&#x1F36A;	&#127850;	F0 9F 8D AA	\u1F36A	Cookie
🍫	U+1F36B	&#x1F36B;	&#127851;	F0 9F 8D AB	\u1F36B	Chocolate Bar
🍬	U+1F36C	&#x1F36C;	&#127852;	F0 9F 8D AC	\u1F36C	Candy
🍭	U+1F36D	&#x1F36D;	&#127853;	F0 9F 8D AD	\u1F36D	Lollipop
🍮	U+1F36E	&#x1F36E;	&#127854;	F0 9F 8D AE	\u1F36E	Custard
🍯	U+1F36F	&#x1F36F;	&#127855;	F0 9F 8D AF	\u1F36F	Honey Pot
🍰	U+1F370	&#x1F370;	&#127856;	F0 9F 8D B0	\u1F370	Shortcake
🍱	U+1F371	&#x1F371;	&#127857;	F0 9F 8D B1	\u1F371	Bento Box
🍲	U+1F372	&#x1F372;	&#127858;	F0 9F 8D B2	\u1F372	Pot Of Food
🍳	U+1F373	&#x1F373;	&#127859;	F0 9F 8D B3	\u1F373	Cooking
🍴	U+1F374	&#x1F374;	&#127860;	F0 9F 8D B4	\u1F374	Fork And Knife
🍵	U+1F375	&#x1F375;	&#127861;	F0 9F 8D B5	\u1F375	Teacup Without Handle
🍶	U+1F376	&#x1F376;	&#127862;	F0 9F 8D B6	\u1F376	Sake Bottle And Cup
🍷	U+1F377	&#x1F377;	&#127863;	F0 9F 8D B7	\u1F377	Wine Glass
🍸	U+1F378	&#x1F378;	&#127864;	F0 9F 8D B8	\u1F378	Cocktail Glass
🍹	U+1F379	&#x1F379;	&#127865;	F0 9F 8D B9	\u1F379	Tropical Drink
🍺	U+1F37A	&#x1F37A;	&#127866;	F0 9F 8D BA	\u1F37A	Beer Mug
🍻	U+1F37B	&#x1F37B;	&#127867;	F0 9F 8D BB	\u1F37B	Clinking Beer Mugs
🍼	U+1F37C	&#x1F37C;	&#127868;	F0 9F 8D BC	\u1F37C	Baby Bottle
🎀	U+1F380	&#x1F380;	&#127872;	F0 9F 8E 80	\u1F380	Ribbon
🎁	U+1F381	&#x1F381;	&#127873;	F0 9F 8E 81	\u1F381	Wrapped Present
