Unicode	character	UTF-8	name
U+1F300	🌀	f0 9f 8c 80	CYCLONE
U+1F301	🌁	f0 9f 8c 81	FOGGY
U+1F302	🌂	f0 9f 8c 82	CLOSED UMBRELLA
U+1F303	🌃	f0 9f 8c 83	NIGHT WITH STARS
U+1F304	🌄	f0 9f 8c 84	SUNRISE OVER MOUNTAINS
U+1F305	🌅	f0 9f 8c 85	SUNRISE
U+1F306	🌆	f0 9f 8c 86	CITYSCAPE AT DUSK
U+1F307	🌇	f0 9f 8c 87	SUNSET OVER BUILDINGS
U+1F308	🌈	f0 9f 8c 88	RAINBOW
U+1F309	🌉	f0 9f 8c 89	BRIDGE AT NIGHT
U+1F30A	🌊	f0 9f 8c 8a	WATER WAVE
U+1F30B	🌋	f0 9f 8c 8b	VOLCANO
U+1F30C	🌌	f0 9f 8c 8c	MILKY WAY
U+1F30D	🌍	f0 9f 8c 8d	EARTH GLOBE EUROPE-AFRICA
U+1F30E	🌎	f0 9f 8c 8e	EARTH GLOBE AMERICAS
U+1F30F	🌏	f0 9f 8c 8f	EARTH GLOBE ASIA-AUSTRALIA
U+1F310	🌐	f0 9f 8c 90	GLOBE WITH MERIDIANS
U+1F311	🌑	f0 9f 8c 91	NEW MOON SYMBOL
U+1F312	🌒	f0 9f 8c 92	WAXING CRESCENT MOON SYMBOL
U+1F313	🌓	f0 9f 8c 93	FIRST QUARTER MOON SYMBOL
U+1F314	🌔	f0 9f 8c 94	WAXING GIBBOUS MOON SYMBOL
U+1F315	🌕	f0 9f 8c 95	FULL MOON SYMBOL
U+1F316	🌖	f0 9f 8c 96	WANING GIBBOUS MOON SYMBOL
U+1F317	🌗	f0 9f 8c 97	LAST QUARTER MOON SYMBOL
U+1F318	🌘	f0 9f 8c 98	WANING CRESCENT MOON SYMBOL
U+1F319	🌙	f0 9f 8c 99	CRESCENT MOON
U+1F31A	🌚	f0 9f 8c 9a	NEW MOON WITH FACE
U+1F31B	🌛	f0 9f 8c 9b	FIRST QUARTER MOON WITH FACE
U+1F31C	🌜	f0 9f 8c 9c	LAST QUARTER MOON WITH FACE
U+1F31D	🌝	f0 9f 8c 9d	FULL MOON WITH FACE
U+1F31E	🌞	f0 9f 8c 9e	SUN WITH FACE
U+1F31F	🌟	f0 9f 8c 9f	GLOWING STAR
U+1F320	🌠	f0 9f 8c a0	SHOOTING STAR
U+1F321	🌡	f0 9f 8c a1	THERMOMETER
U+1F322	🌢	f0 9f 8c a2	BLACK DROPLET
U+1F323	🌣	f0 9f 8c a3	WHITE SUN
U+1F324	🌤	f0 9f 8c a4	WHITE SUN WITH SMALL CLOUD
U+1F325	🌥	f0 9f 8c a5	WHITE SUN BEHIND CLOUD
U+1F326	🌦	f0 9f 8c a6	WHITE SUN BEHIND CLOUD WITH RAIN
U+1F327	🌧	f0 9f 8c a7	CLOUD WITH RAIN
U+1F328	🌨	f0 9f 8c a8	CLOUD WITH SNOW
U+1F329	🌩	f0 9f 8c a9	CLOUD WITH LIGHTNING
U+1F32A	🌪	f0 9f 8c aa	CLOUD WITH TORNADO
U+1F32B	🌫	f0 9f 8c ab	FOG
U+1F32C	🌬	f0 9f 8c ac	WIND BLOWING FACE
U+1F32D	🌭	f0 9f 8c ad	HOT DOG
U+1F32E	🌮	f0 9f 8c ae	TACO
U+1F32F	🌯	f0 9f 8c af	BURRITO
U+1F330	🌰	f0 9f 8c b0	CHESTNUT
U+1F331	🌱	f0 9f 8c b1	SEEDLING
U+1F332	🌲	f0 9f 8c b2	EVERGREEN TREE
U+1F333	🌳	f0 9f 8c b3	DECIDUOUS TREE
U+1F334	🌴	f0 9f 8c b4	PALM TREE
U+1F335	🌵	f0 9f 8c b5	CACTUS
U+1F336	🌶	f0 9f 8c b6	HOT PEPPER
U+1F337	🌷	f0 9f 8c b7	TULIP
U+1F338	🌸	f0 9f 8c b8	CHERRY BLOSSOM
U+1F339	🌹	f0 9f 8c b9	ROSE
U+1F33A	🌺	f0 9f 8c ba	HIBISCUS
U+1F33B	🌻	f0 9f 8c bb	SUNFLOWER
U+1F33C	🌼	f0 9f 8c bc	BLOSSOM
U+1F33D	🌽	f0 9f 8c bd	EAR OF MAIZE
U+1F33E	🌾	f0 9f 8c be	EAR OF RICE
U+1F33F	🌿	f0 9f 8c bf	HERB
U+1F340	🍀	f0 9f 8d 80	FOUR LEAF CLOVER
U+1F341	🍁	f0 9f 8d 81	MAPLE LEAF
U+1F342	🍂	f0 9f 8d 82	FALLEN LEAF
U+1F343	🍃	f0 9f 8d 83	LEAF FLUTTERING IN WIND
U+1F344	🍄	f0 9f 8d 84	MUSHROOM
U+1F345	🍅	f0 9f 8d 85	TOMATO
U+1F346	🍆	f0 9f 8d 86	AUBERGINE
U+1F347	🍇	f0 9f 8d 87	GRAPES
U+1F348	🍈	f0 9f 8d 88	MELON
U+1F349	🍉	f0 9f 8d 89	WATERMELON
U+1F34A	🍊	f0 9f 8d 8a	TANGERINE
U+1F34B	🍋	f0 9f 8d 8b	LEMON
U+1F34C	🍌	f0 9f 8d 8c	BANANA
U+1F34D	🍍	f0 9f 8d 8d	PINEAPPLE
U+1F34E	🍎	f0 9f 8d 8e	RED APPLE
U+1F34F	🍏	f0 9f 8d 8f	GREEN APPLE
U+1F350	🍐	f0 9f 8d 90	PEAR
U+1F351	🍑	f0 9f 8d 91	PEACH
U+1F352	🍒	f0 9f 8d 92	CHERRIES
U+1F353	🍓	f0 9f 8d 93	STRAWBERRY
U+1F354	🍔	f0 9f 8d 94	HAMBURGER
U+1F355	🍕	f0 9f 8d 95	SLICE OF PIZZA
U+1F356	🍖	f0 9f 8d 96	MEAT ON BONE
U+1F357	🍗	f0 9f 8d 97	POULTRY LEG
U+1F358	🍘	f0 9f 8d 98	RICE CRACKER
U+1F359	🍙	f0 9f 8d 99	RICE BALL
U+1F35A	🍚	f0 9f 8d 9a	COOKED RICE
U+1F35B	🍛	f0 9f 8d 9b	CURRY AND RICE
U+1F35C	🍜	f0 9f 8d 9c	STEAMING BOWL
U+1F35D	🍝	f0 9f 8d 9d	SPAGHETTI
U+1F35E	🍞	f0 9f 8d 9e	BREAD
U+1F35F	🍟	f0 9f 8d 9f	FRENCH FRIES
U+1F360	🍠	f0 9f 8d a0	ROASTED SWEET POTATO
U+1F361	🍡	f0 9f 8d a1	DANGO
U+1F362	🍢	f0 9f 8d a2	ODEN
U+1F363	🍣	f0 9f 8d a3	SUSHI
U+1F364	🍤	f0 9f 8d a4	FRIED SHRIMP
U+1F365	🍥	f0 9f 8d a5	FISH CAKE WITH SWIRL DESIGN
U+1F366	🍦	f0 9f 8d a6	SOFT ICE CREAM
U+1F367	🍧	f0 9f 8d a7	SHAVED ICE
U+1F368	🍨	f0 9f 8d a8	ICE CREAM
U+1F369	🍩	f0 9f 8d a9	DOUGHNUT
U+1F36A	🍪	f0 9f 8d aa	COOKIE
U+1F36B	🍫	f0 9f 8d ab	CHOCOLATE BAR
U+1F36C	🍬	f0 9f 8d ac	CANDY
U+1F36D	🍭	f0 9f 8d ad	LOLLIPOP
U+1F36E	🍮	f0 9f 8d ae	CUSTARD
U+1F36F	🍯	f0 9f 8d af	HONEY POT
U+1F370	🍰	f0 9f 8d b0	SHORTCAKE
U+1F371	🍱	f0 9f 8d b1	BENTO BOX
U+1F372	🍲	f0 9f 8d b2	POT OF FOOD
U+1F373	🍳	f0 9f 8d b3	COOKING
U+1F374	🍴	f0 9f 8d b4	FORK AND KNIFE
U+1F375	🍵	f0 9f 8d b5	TEACUP WITHOUT HANDLE
U+1F376	🍶	f0 9f 8d b6	SAKE BOTTLE AND CUP
U+1F377	🍷	f0 9f 8d b7	WINE GLASS
U+1F378	🍸	f0 9f 8d b8	COCKTAIL GLASS
U+1F379	🍹	f0 9f 8d b9	TROPICAL DRINK
U+1F37A	🍺	f0 9f 8d ba	BEER MUG
U+1F37B	🍻	f0 9f 8d bb	CLINKING BEER MUGS
U+1F37C	🍼	f0 9f 8d bc	BABY BOTTLE
U+1F37D	🍽	f0 9f 8d bd	FORK AND KNIFE WITH PLATE
U+1F37E	🍾	f0 9f 8d be	BOTTLE WITH POPPING CORK
U+1F37F	🍿	f0 9f 8d bf	POPCORN
U+1F380	🎀	f0 9f 8e 80	RIBBON
U+1F381	🎁	f0 9f 8e 81	WRAPPED PRESENT
U+1F382	🎂	f0 9f 8e 82	BIRTHDAY CAKE
U+1F383	🎃	f0 9f 8e 83	JACK-O-LANTERN
U+1F384	🎄	f0 9f 8e 84	CHRISTMAS TREE
U+1F385	🎅	f0 9f 8e 85	FATHER CHRISTMAS
U+1F386	🎆	f0 9f 8e 86	FIREWORKS
U+1F387	🎇	f0 9f 8e 87	FIREWORK SPARKLER
U+1F388	🎈	f0 9f 8e 88	BALLOON
U+1F389	🎉	f0 9f 8e 89	PARTY POPPER
U+1F38A	🎊	f0 9f 8e 8a	CONFETTI BALL
U+1F38B	🎋	f0 9f 8e 8b	TANABATA TREE
U+1F38C	🎌	f0 9f 8e 8c	CROSSED FLAGS
U+1F38D	🎍	f0 9f 8e 8d	PINE DECORATION
U+1F38E	🎎	f0 9f 8e 8e	JAPANESE DOLLS
U+1F38F	🎏	f0 9f 8e 8f	CARP STREAMER
U+1F390	🎐	f0 9f 8e 90	WIND CHIME
U+1F391	🎑	f0 9f 8e 91	MOON VIEWING CEREMONY
U+1F392	🎒	f0 9f 8e 92	SCHOOL SATCHEL
U+1F393	🎓	f0 9f 8e 93	GRADUATION CAP
U+1F394	🎔	f0 9f 8e 94	HEART WITH TIP ON THE LEFT
U+1F395	🎕	f0 9f 8e 95	BOUQUET OF FLOWERS
U+1F396	🎖	f0 9f 8e 96	MILITARY MEDAL
U+1F397	🎗	f0 9f 8e 97	REMINDER RIBBON
U+1F398	🎘	f0 9f 8e 98	MUSICAL KEYBOARD WITH JACKS
U+1F399	🎙	f0 9f 8e 99	STUDIO MICROPHONE
U+1F39A	🎚	f0 9f 8e 9a	LEVEL SLIDER
U+1F39B	🎛	f0 9f 8e 9b	CONTROL KNOBS
U+1F39C	🎜	f0 9f 8e 9c	BEAMED ASCENDING MUSICAL NOTES
U+1F39D	🎝	f0 9f 8e 9d	BEAMED DESCENDING MUSICAL NOTES
U+1F39E	🎞	f0 9f 8e 9e	FILM FRAMES
U+1F39F	🎟	f0 9f 8e 9f	ADMISSION TICKETS
U+1F3A0	🎠	f0 9f 8e a0	CAROUSEL HORSE
U+1F3A1	🎡	f0 9f 8e a1	FERRIS WHEEL
U+1F3A2	🎢	f0 9f 8e a2	ROLLER COASTER
U+1F3A3	🎣	f0 9f 8e a3	FISHING POLE AND FISH
U+1F3A4	🎤	f0 9f 8e a4	MICROPHONE
U+1F3A5	🎥	f0 9f 8e a5	MOVIE CAMERA
U+1F3A6	🎦	f0 9f 8e a6	CINEMA
U+1F3A7	🎧	f0 9f 8e a7	HEADPHONE
U+1F3A8	🎨	f0 9f 8e a8	ARTIST PALETTE
U+1F3A9	🎩	f0 9f 8e a9	TOP HAT
U+1F3AA	🎪	f0 9f 8e aa	CIRCUS TENT
U+1F3AB	🎫	f0 9f 8e ab	TICKET
U+1F3AC	🎬	f0 9f 8e ac	CLAPPER BOARD
U+1F3AD	🎭	f0 9f 8e ad	PERFORMING ARTS
U+1F3AE	🎮	f0 9f 8e ae	VIDEO GAME
U+1F3AF	🎯	f0 9f 8e af	DIRECT HIT
U+1F3B0	🎰	f0 9f 8e b0	SLOT MACHINE
U+1F3B1	🎱	f0 9f 8e b1	BILLIARDS
U+1F3B2	🎲	f0 9f 8e b2	GAME DIE
U+1F3B3	🎳	f0 9f 8e b3	BOWLING
U+1F3B4	🎴	f0 9f 8e b4	FLOWER PLAYING CARDS
